时间戳,左臂最大压强(kPa),左臂最大压强坐标,左臂平均压强(kPa),左臂受力面积(cm²),左臂数据,左臂点数,左臂总压力(N),备注
1787125308398,168.0,"(2, 10)",74.5,124,"[0,0,0,0,0,6,11,38,64,115,165,160,155,139,122,121,119,137,155,102,49,47,45,35,25,35,45,60,75,56,37,31,25,31,37,37,0,0,0,0,0,6,12,39,66,116,167,162,157,140,124,121,119,138,157,103,50,48,46,35,25,35,46,61,77,57,38,31,25,31,37,37,0,0,0,0,0,6,12,40,67,118,168,164,159,142,125,122,119,139,158,104,50,48,46,36,25,36,46,63,79,59,38,32,25,31,36,36,0,0,0,0,0,6,12,40,67,118,168,164,159,142,125,122,119,139,158,104,50,48,46,36,25,36,46,63,79,59,38,32,25,31,36,36]",124,924.3,
1787125308480,168.0,"(0, 10)",79.5,116,"[0,0,0,0,0,0,0,34,68,118,168,163,157,142,126,125,123,142,160,107,54,53,52,46,40,44,48,58,68,50,32,27,21,27,32,32,0,0,0,0,0,0,0,35,69,119,168,163,158,142,126,124,122,141,160,107,54,53,52,46,40,44,47,58,68,50,32,25,19,25,32,32,0,0,0,0,0,0,0,35,70,119,168,163,158,142,126,123,120,140,159,107,54,53,52,46,40,43,46,57,68,50,32,24,16,24,32,32,0,0,0,0,0,0,0,35,70,119,168,163,158,142,126,123,120,140,159,107,54,53,52,46,40,43,46,57,68,50,32,24,16,24,32,32]",116,922.6,
1787125308562,178.0,"(2, 10)",79.8,124,"[0,0,0,0,0,6,12,45,78,127,175,169,163,149,135,134,132,151,170,112,53,53,53,47,40,44,47,59,70,52,34,27,20,26,32,32,0,0,0,0,0,6,13,46,79,128,177,171,166,151,136,134,132,151,171,113,55,54,54,47,41,44,47,59,72,53,34,27,20,26,32,32,0,0,0,0,0,7,13,46,79,129,178,173,168,153,137,134,131,152,172,114,56,55,54,48,41,44,46,60,73,54,34,27,20,26,32,32,0,0,0,0,0,7,13,46,79,129,178,173,168,153,137,134,131,152,172,114,56,55,54,48,41,44,46,60,73,54,34,27,20,26,32,32]",124,989.4,
1787125308643,181.0,"(1, 10)",80.8,124,"[0,0,0,0,0,7,13,48,83,132,180,173,166,153,140,139,137,156,175,113,50,50,50,44,37,42,46,59,72,55,37,29,20,25,30,30,0,0,0,0,0,7,13,48,84,132,181,174,168,154,141,138,136,156,176,113,51,51,51,44,37,42,46,60,74,55,37,29,21,25,30,30,0,0,0,0,0,7,13,49,84,133,181,175,169,155,141,138,135,156,177,114,51,51,51,44,37,42,46,61,75,56,37,29,21,26,30,30,0,0,0,0,0,7,13,49,84,133,181,175,169,155,141,138,135,156,177,114,51,51,51,44,37,42,46,61,75,56,37,29,21,26,30,30]",124,1002.3,
1787125308727,185.0,"(2, 10)",81.5,124,"[0,0,0,0,0,7,13,50,86,133,180,173,166,153,140,138,136,156,175,112,48,48,48,39,30,37,43,58,72,55,37,29,20,25,30,30,0,0,0,0,0,7,13,51,89,136,183,176,170,156,143,140,138,158,178,113,48,49,49,40,31,37,44,59,74,56,38,30,22,26,31,31,0,0,0,0,0,7,13,52,91,138,185,180,174,160,145,142,139,160,181,115,48,49,50,41,31,38,45,61,76,57,38,31,24,28,31,31,0,0,0,0,0,7,13,52,91,138,185,180,174,160,145,142,139,160,181,115,48,49,50,41,31,38,45,61,76,57,38,31,24,28,31,31]",124,1010.5,
1787125308810,183.0,"(1, 10)",82.5,120,"[0,0,0,0,0,7,13,51,88,135,182,175,168,155,142,140,138,158,178,113,48,47,46,37,28,35,42,57,72,55,37,29,21,26,30,30,0,0,0,0,0,3,7,48,89,136,183,176,169,156,142,140,137,158,178,114,49,48,46,37,28,35,42,58,73,55,37,29,21,26,30,30,0,0,0,0,0,0,0,45,90,137,183,177,170,156,142,139,136,157,178,114,50,48,46,37,28,35,42,58,74,56,37,29,21,26,30,30,0,0,0,0,0,0,0,45,90,137,183,177,170,156,142,139,136,157,178,114,50,48,46,37,28,35,42,58,74,56,37,29,21,26,30,30]",120,990.5,
1787125308894,186.0,"(2, 10)",81.8,124,"[0,0,0,0,0,7,13,52,91,137,183,176,168,156,143,141,139,159,178,114,49,48,46,37,28,35,42,58,73,55,37,29,21,26,30,30,0,0,0,0,0,7,13,53,93,139,185,178,171,158,144,142,139,159,180,115,50,48,47,38,29,36,43,59,75,56,38,29,21,26,31,31,0,0,0,0,0,7,13,54,94,140,186,180,174,160,145,142,139,160,181,116,50,49,48,39,29,36,43,60,76,57,38,30,21,26,31,31,0,0,0,0,0,7,13,54,94,140,186,180,174,160,145,142,139,160,181,116,50,49,48,39,29,36,43,60,76,57,38,30,21,26,31,31]",124,1014.4,
1787125308978,188.0,"(2, 10)",82.3,124,"[0,0,0,0,0,7,13,52,91,136,181,174,167,154,140,139,137,157,176,112,48,47,46,37,28,35,41,57,72,55,37,29,20,25,30,30,0,0,0,0,0,7,14,54,94,139,185,178,171,157,144,141,139,159,180,115,51,49,47,38,29,36,43,59,75,56,38,29,21,26,31,31,0,0,0,0,0,7,14,56,97,143,188,182,175,161,147,144,140,162,183,118,53,51,48,39,29,37,44,61,77,58,39,30,21,27,32,32,0,0,0,0,0,7,14,56,97,143,188,182,175,161,147,144,140,162,183,118,53,51,48,39,29,37,44,61,77,58,39,30,21,27,32,32]",124,1019.9,
1787125309061,188.0,"(2, 10)",82.8,124,"[0,0,0,0,0,7,13,53,93,138,183,176,169,156,142,141,140,160,179,114,49,48,47,38,28,36,44,59,73,56,38,30,21,26,31,31,0,0,0,0,0,7,14,54,95,140,186,179,172,158,145,142,140,161,181,116,51,49,48,38,29,36,44,60,75,57,39,30,21,26,32,32,0,0,0,0,0,7,14,56,97,143,188,182,175,161,147,144,140,162,183,118,53,51,48,39,29,37,44,61,77,58,39,30,21,27,32,32,0,0,0,0,0,7,14,56,97,143,188,182,175,161,147,144,140,162,183,118,53,51,48,39,29,37,44,61,77,58,39,30,21,27,32,32]",124,1026.6,
1787125309144,184.0,"(0, 10)",83.6,120,"[0,0,0,0,0,7,13,53,93,139,184,177,170,157,144,142,140,160,180,115,49,48,47,38,28,37,45,60,74,56,38,30,21,26,31,31,0,0,0,0,0,3,7,50,94,139,184,177,170,157,144,141,139,159,179,115,50,48,47,37,28,36,44,59,75,56,38,29,21,26,31,31,0,0,0,0,0,0,0,47,94,139,184,177,170,157,143,140,137,158,178,115,51,49,46,37,28,35,42,59,75,56,37,29,21,26,30,30,0,0,0,0,0,0,0,47,94,139,184,177,170,157,143,140,137,158,178,115,51,49,46,37,28,35,42,59,75,56,37,29,21,26,30,30]",120,1002.7,
