帧数,秒数(s),右臂最大压强(N/cm²),右臂最大压强坐标,右臂平均压强(N/cm²),右臂受力面积(cm²),右臂压强数据(N/cm²),右臂点数,右臂压力总和(N),右臂平均梯度（N/cm³）,右臂最大梯度（N/cm³）,右臂框选1最大压强(N/cm²),右臂框选1最大压强坐标,右臂框选1平均压强(N/cm²),右臂框选1受力面积(cm²),右臂框选1压强数据(N/cm²),右臂框选1点数,右臂框选1压力总和(N),右臂框选1平均梯度（N/cm³）,右臂框选1最大梯度（N/cm³）,右臂框选2最大压强(N/cm²),右臂框选2最大压强坐标,右臂框选2平均压强(N/cm²),右臂框选2受力面积(cm²),右臂框选2压强数据(N/cm²),右臂框选2点数,右臂框选2压力总和(N),右臂框选2平均梯度（N/cm³）,右臂框选2最大梯度（N/cm³）,框选坐标
1,0.000,0.02,"(0, 24)",0.02,14.0625,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0]",9,0.0,0.0097,0.0113,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.02,"(2, 19)",0.02,6.25,"[0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0.02,0.02]",4,0.0,0.0097,0.0113,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
2,0.084,0.02,"(0, 24)",0.02,14.0625,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0]",9,0.0,0.0097,0.0113,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.02,"(2, 19)",0.02,6.25,"[0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0.02,0.02]",4,0.0,0.0097,0.0113,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
3,0.167,0.02,"(0, 24)",0.02,14.0625,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0]",9,0.0,0.0097,0.0113,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.02,"(2, 19)",0.02,6.25,"[0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0.02,0.02]",4,0.0,0.0097,0.0113,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
4,0.251,0.02,"(0, 24)",0.02,14.0625,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0]",9,0.0,0.0097,0.0113,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.02,"(2, 19)",0.02,6.25,"[0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0.02,0.02]",4,0.0,0.0097,0.0113,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
5,0.333,0.02,"(0, 23)",0.02,17.1875,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0]",11,0.0,0.0097,0.0113,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.02,"(2, 19)",0.02,6.25,"[0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0.02,0.02]",4,0.0,0.0097,0.0113,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
6,0.416,0.02,"(0, 24)",0.02,15.625,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0]",10,0.0,0.0077,0.0113,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.02,"(1, 20)",0.02,7.8125,"[0,0,0,0,0,0.02,0,0,0,0,0.02,0.02,0,0,0,0,0.02,0.02]",5,0.0,0.0064,0.0113,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
7,0.499,0.02,"(0, 24)",0.02,14.0625,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0]",9,0.0,0.0097,0.0113,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.02,"(2, 19)",0.02,6.25,"[0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0.02,0.02]",4,0.0,0.0097,0.0113,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
8,0.583,0.02,"(0, 24)",0.02,14.0625,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0]",9,0.0,0.0097,0.0113,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.02,"(2, 19)",0.02,6.25,"[0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0.02,0.02]",4,0.0,0.0097,0.0113,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
9,0.665,0.02,"(0, 24)",0.02,15.625,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0]",10,0.0,0.0077,0.0113,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.02,"(1, 20)",0.02,7.8125,"[0,0,0,0,0,0.02,0,0,0,0,0.02,0.02,0,0,0,0,0.02,0.02]",5,0.0,0.0064,0.0113,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
10,0.748,0.02,"(0, 24)",0.02,15.625,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0]",10,0.0,0.0077,0.0113,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.02,"(1, 20)",0.02,7.8125,"[0,0,0,0,0,0.02,0,0,0,0,0.02,0.02,0,0,0,0,0.02,0.02]",5,0.0,0.0064,0.0113,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
