时间戳,右臂最大压强(kPa),右臂最大压强坐标,右臂平均压强(kPa),右臂受力面积(cm²),右臂数据,右臂点数,右臂总压力(N),备注
1787222637623,24.0,"(0, 8)",6.8,40,"[0,0,0,0,0,0,0,12,24,16,8,9,10,14,17,12,7,4,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,8,4,5,5,8,11,7,4,2,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0]",40,27.3,
1787222637749,24.0,"(0, 8)",7.0,40,"[0,0,0,0,0,0,0,12,24,17,10,10,10,14,17,12,6,3,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,9,5,5,5,8,12,7,3,2,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0]",40,27.9,
1787222637872,23.0,"(0, 8)",7.1,40,"[0,0,0,0,0,0,0,12,23,16,9,10,11,15,18,13,7,4,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,8,5,5,6,9,12,8,4,2,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0]",40,28.3,
1787222637989,24.0,"(0, 8)",7.2,40,"[0,0,0,0,0,0,0,12,24,17,9,10,11,15,18,13,7,4,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,8,5,5,6,9,12,8,4,2,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0]",40,28.7,
1787222638109,24.0,"(0, 8)",6.9,40,"[0,0,0,0,0,0,0,12,24,16,8,10,11,14,17,12,7,4,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,8,4,5,6,8,11,7,4,2,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0]",40,27.6,
1787222638220,24.0,"(0, 8)",7.2,40,"[0,0,0,0,0,0,0,12,24,17,9,10,11,15,18,13,7,4,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,8,5,5,6,9,12,8,4,2,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0]",40,28.7,
1787222638340,24.0,"(0, 8)",7.0,40,"[0,0,0,0,0,0,0,12,24,17,10,10,10,14,18,12,6,3,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,9,5,5,5,8,12,7,3,2,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0]",40,27.8,
1787222638452,24.0,"(0, 8)",7.2,40,"[0,0,0,0,0,0,0,12,24,17,9,10,11,15,18,13,7,4,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,8,5,5,6,9,12,8,4,2,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0]",40,28.7,
1787222638568,24.0,"(0, 8)",7.1,40,"[0,0,0,0,0,0,0,12,24,17,10,10,10,15,19,13,6,3,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,9,5,5,5,9,13,8,3,2,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0]",40,28.4,
1787222638682,22.0,"(0, 8)",6.8,40,"[0,0,0,0,0,0,0,11,22,15,7,9,10,15,19,13,6,3,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,7,4,4,5,9,13,8,3,2,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0]",40,27.2,
